"date","rf_m"
1968-07-31,0.00420949367822132
1968-08-30,0.00421745036527299
1968-09-30,0.00420153629763109
1968-10-31,0.00445582910683973
1968-11-29,0.00448756596969879
1968-12-31,0.00506483494977084
1969-01-31,0.00501752553502888
1969-02-28,0.00501752553502888
1969-03-31,0.00501752553502888
1969-04-30,0.00476479406475305
1969-05-30,0.00476479406475305
1969-06-30,0.00509636095616139
1969-07-31,0.00570112649840682
1969-08-29,0.00561497601064742
1969-09-30,0.00576373044953726
1969-10-31,0.0056463128544999
1969-11-28,0.00605271748962655
1969-12-31,0.00644179547513701
1970-01-30,0.00632524573670046
1970-02-27,0.0055365868732713
1970-03-31,0.00516725472590518
1970-04-30,0.0055993035596984
1970-05-29,0.0055993035596984
1970-06-30,0.00525382804085961
1970-07-31,0.00516725472590518
1970-08-31,0.00512787608895859
1970-09-30,0.00474106460143031
1970-10-30,0.00474106460143031
1970-11-30,0.00410599358847086
1970-12-31,0.00395451281294235
1971-01-29,0.0033942459274463
1971-02-26,0.00279011649053218
1971-03-31,0.00298387372414766
1971-04-30,0.00321744904794241
1971-05-31,0.00321744904794241
1971-06-30,0.00424927018061783
1971-07-30,0.00432082424236424
1971-08-31,0.0036267740400886
1971-09-30,0.00375481218114615
1971-10-29,0.00352261058559811
1971-11-30,0.00354665886361372
1971-12-31,0.0030161266025488
1972-01-31,0.00274969851685558
1972-02-29,0.00283859441682921
1972-03-31,0.00283859441682921
1972-04-28,0.00297580872163872
1972-05-31,0.00312086974013481
1972-06-30,0.00332196134704477
1972-07-31,0.00311281684573306
1972-08-31,0.00371481955883124
1972-09-29,0.00371481955883124
1972-10-31,0.00388267091705496
1972-11-30,0.00397844755015164
1972-12-29,0.00418561945532825
1973-01-31,0.00461440323932605
1973-02-28,0.00474897510752093
1973-03-30,0.005183001430342
1973-04-30,0.00504906786652604
1973-05-31,0.00559146632654683
1973-06-29,0.00606051529006613
1973-07-31,0.00668219550495563
1973-08-31,0.00694513596381263
1973-09-28,0.0056384796504918
1973-10-31,0.00593567062915912
1973-11-30,0.00588880990679441
1973-12-31,0.00601371851162891
1974-01-31,0.00602932009846224
1974-02-28,0.00601371851162891
1974-03-29,0.00665121161099069
1974-04-30,0.00713028729995768
1974-05-31,0.00649613458538378
1974-06-28,0.00592005305634857
1974-07-31,0.0061774025897503
1974-08-30,0.00715340491122407
1974-09-30,0.00496230023834521
1974-10-31,0.00627858423522731
1974-11-29,0.00602151963773045
1974-12-31,0.00570112649840682
1975-01-31,0.00461440323932605
1975-02-28,0.0043923222705009
1975-03-31,0.00449549846225961
1975-04-30,0.00447169891704302
1975-05-30,0.00423336165926491
1975-06-30,0.00475688492858706
1975-07-31,0.00506483494977084
1975-08-29,0.00515150530747666
1975-09-30,0.00532459980178035
1975-10-31,0.00447963278800168
1975-11-28,0.00450343026580891
1975-12-31,0.00423336165926491
1976-01-30,0.00385871104551461
1976-02-27,0.00407412378364835
1976-03-31,0.00405021412570328
1976-04-30,0.00400237601238951
1976-05-31,0.00400237601238951
1976-06-30,0.00436849581474852
1976-07-30,0.00420949367822132
1976-08-31,0.00414581520378898
1976-09-30,0.00412192431926517
1976-10-29,0.00398642440128016
1976-11-30,0.00361075663180244
1976-12-31,0.00354665886361372
1977-01-31,0.00385072302357004
1977-02-28,0.00383474488176594
1977-03-31,0.00370681893055314
1977-04-29,0.0038267547616504
1977-05-31,0.0040980271803599
1977-06-30,0.00405818470758934
1977-07-29,0.0043923222705009
1977-08-31,0.00451929180637456
1977-09-30,0.00478061028287957
1977-10-31,0.0050096382503948
1977-11-30,0.00489914470982766
1977-12-30,0.00497019161052159
1978-01-31,0.00519874542176457
1978-02-28,0.00519874542176457
1978-03-31,0.0052380935372951
1978-04-28,0.00514362958020964
1978-05-31,0.00537960664082426
1978-06-30,0.00566197724932804
1978-07-31,0.00546597912957347
1978-08-31,0.0060761088967336
1978-09-29,0.00641849740224321
1978-10-31,0.00701461160414008
1978-11-30,0.0072150233541628
1978-12-29,0.0074073141725286
1979-01-31,0.00743036196123481
1979-02-28,0.00755318564258989
1979-03-30,0.00754551398597014
1979-04-30,0.00763753148577617
1979-05-31,0.00764519543992948
1979-06-29,0.007168813409969
1979-07-31,0.00734582503047121
1979-08-31,0.00782893825442144
1979-09-28,0.00806572865657129
1979-10-31,0.00957888163109244
1979-11-30,0.00910492618016678
1979-12-31,0.00951883232705097
